market,lat,lon,region,conf,d_act,neighbor_dact_z,local_biv_i,local_p,quad_sig
lon38_6475lat8_8211,8.82104,38.64754,Oromia,0.0,-176.2,0.08221456498907963,-0.03283068519378434,0.734,ns
lon38_6492lat13_9728,13.97555,38.65012,Tigray,0.0,-18.700000000000003,0.5523551291099602,-0.22057159046441388,0.014,conf_lo_nbr_up
lon38_651lat10_8763,10.87683,38.65047,Amhara,0.0,9.200000000000003,0.01784352155263836,-0.00712544108116352,0.933,ns
lon38_6544lat9_4294,9.42959,38.65452,Oromia,0.0,-25.799999999999997,0.19876986375983197,-0.07937463178181685,0.393,ns
lon38_6573lat10_4568,10.45597,38.65725,Amhara,0.0,61.39999999999999,0.0196424507008799,-0.007843806209771638,0.935,ns
lon38_6578lat10_5491,10.54918,38.65779,Amhara,0.0,-32.599999999999994,0.03467690536958852,-0.013847504561203122,0.891,ns
lon38_6595lat12_2138,12.21533,38.65447,Amhara,0.0,-31.500000000000004,0.4200764240818109,-0.16774882696505736,0.11,ns
lon38_6649lat7_3621,7.36213,38.66502,Oromia,4.0,175.5,0.20815491540129674,0.05553739624368074,0.501,ns
lon38_6715lat10_7073,10.70847,38.66905,Amhara,0.0,42.7,0.1052531061148157,-0.04203064983658896,0.575,ns
lon38_6737lat7_3578,7.35804,38.6739,Oromia,4.0,-5.700000000000003,0.4578309711419284,0.12215296481430117,0.156,ns
lon38_673lat10_7238,10.72194,38.6717,Amhara,0.0,-10.100000000000009,0.15362439715661966,-0.061346723926640104,0.428,ns
lon38_6781lat10_9257,10.92285,38.6745,Amhara,0.0,94.00000000000001,-0.02116575249172667,0.008452105256991081,0.926,ns
lon38_6836lat6_9161,6.91805,38.68325,SNNPR,0.0,-209.3,0.10671827649342604,-0.042615735307293616,0.699,ns
lon38_6942lat9_3346,9.33467,38.69411,Oromia,0.0,8.399999999999991,0.03199404683010832,-0.012776160522092413,0.885,ns
lon38_698lat8_7847,8.78457,38.69801,Oromia,0.0,39.7,0.0048108539999517155,-0.00192111498986405,0.989,ns
lon38_7055lat12_082,12.08203,38.70543,Amhara,2.0,-149.70000000000002,0.2584024512696284,-0.017121915442919432,0.206,ns
lon38_7061lat10_4839,10.48273,38.70949,Amhara,0.0,36.1,0.00924371356401181,-0.003691285723909094,0.977,ns
lon38_7088lat11_7019,11.70186,38.70896,Amhara,4.0,-7.199999999999989,0.03798897634039364,0.010135762721917017,0.836,ns
lon38_7093lat14_118,14.11808,38.70932,Tigray,0.0,29.5,0.5298126331280798,-0.2115697111847319,0.013,conf_lo_nbr_up
lon38_7134lat7_9271,7.93526,38.71397,Oromia,0.0,-108.89999999999999,0.9161215679373708,-0.36583419008764423,0.016,conf_lo_nbr_up
lon38_7149lat11_9212,11.9214,38.71501,Amhara,3.0,31.400000000000006,0.008134407497234993,0.0008156669087094467,0.969,ns
lon38_7201lat14_1251,14.1236,38.71788,Tigray,0.0,110.5,0.4851685701810794,-0.19374202850369907,0.018,conf_lo_nbr_up
lon38_735lat9_7835,9.77391,38.73887,Oromia,3.0,57.19999999999999,0.13508011689442678,0.013544979325518148,0.562,ns
lon38_7386lat11_7682,11.76812,38.73858,Amhara,4.0,-24.10000000000001,0.0004618470963569446,0.00012322449914247492,0.993,ns
lon38_7471lat9_5958,9.59572,38.74714,Oromia,0.0,7.5,0.2097821534393414,-0.08377216177882842,0.329,ns
lon38_7528lat10_9803,10.98083,38.75258,Amhara,0.0,7.6000000000000085,-0.26433956664760194,0.10555853574146544,0.161,ns
lon38_7557lat12_5909,12.5894,38.75518,Amhara,3.0,-67.19999999999999,0.4504887156396219,0.04517215767948197,0.091,ns
lon38_7559lat12_1886,12.18857,38.75576,Amhara,0.0,74.70000000000002,0.2425335996768418,-0.09685077408076484,0.273,ns
lon38_7631lat9_186,9.18605,38.76322,Oromia,13.0,-64.9,0.2279573524933084,0.40248536139105096,0.399,ns
lon38_7658lat13_9436,13.94215,38.76605,Tigray,0.0,-5.799999999999997,0.543488621707711,-0.21703093421536276,0.011,conf_lo_nbr_up
lon38_7761lat11_0307,11.03068,38.77606,Amhara,0.0,0.20000000000000284,-0.15743724513613755,0.06286930586481536,0.397,ns
lon38_7766lat12_2275,12.22609,38.7774,Amhara,0.0,16.4,0.2963932103030105,-0.11835849502245467,0.174,ns
lon38_7775lat6_0797,6.08152,38.78029,Oromia,0.0,12.100000000000009,0.23543739831335228,-0.09401705291387218,0.766,ns
lon38_7799lat8_3688,8.36842,38.7797,Oromia,0.0,54.10000000000001,-0.05418062578148202,0.021635911700929687,0.8,ns
lon38_7801lat8_6538,8.6538,38.78009,Oromia,0.0,55.0,-0.0980151706117737,0.03914033007408885,0.672,ns
lon38_781lat14_027,14.02652,38.7775,Tigray,0.0,125.1,0.5052944359749455,-0.2017788765271428,0.013,conf_lo_nbr_up
lon38_7844lat13_8641,13.86391,38.7846,Tigray,0.0,125.70000000000002,0.4375098947173142,-0.17471052269798884,0.029,conf_lo_nbr_up
lon38_7876lat14_4121,14.41596,38.78657,Tigray,0.0,-17.599999999999994,0.6693620739221859,-0.2672958925528203,0.025,conf_lo_nbr_up
