market,lat,lon,region,d_act,Wd_act_centered,lisa,local_p,lisa_sig,conf
lon38_1119lat13_1741,13.17404,38.11212,Amhara,-104.00000000000001,9.27950025239778,LH,0.269,ns,0.0
lon38_1131lat9_3819,9.38188,38.11321,Oromia,-90.89999999999999,2.4174123403098653,LH,0.656,ns,0.0
lon38_1174lat8_019,8.01866,38.11735,SNNPR,-164.39999999999998,-25.69669022379269,LL,0.026,LL,0.0
lon38_11lat10_2628,10.26281,38.11016,Amhara,38.2,-6.674895351997828,HL,0.646,ns,0.0
lon38_1206lat12_8441,12.84408,38.12063,Amhara,43.0,28.786643109540634,HH,0.226,ns,0.0
lon38_1282lat6_9283,6.92836,38.12859,SNNPR,3.5,-12.513356890459363,HL,0.903,ns,0.0
lon38_1354lat7_4492,7.45004,38.13584,SNNPR,-28.299999999999997,13.344976442873968,LH,0.557,ns,0.0
lon38_1484lat10_3332,10.33325,38.14841,Amhara,56.60000000000001,-4.652245779348254,HL,0.598,ns,0.0
lon38_1487lat12_0319,12.03188,38.14867,Amhara,-102.2,4.176116793751159,LH,0.433,ns,0.0
lon38_1504lat12_2206,12.22049,38.15021,Amhara,4.799999999999997,-9.333356890459369,HL,0.898,ns,0.0
lon38_1518lat10_603,10.60296,38.15182,Amhara,-25.700000000000003,26.353309776207297,LH,0.259,ns,0.0
lon38_1546lat10_5714,10.57134,38.15462,Amhara,60.4,19.334643109540636,HH,0.143,ns,0.0
lon38_1557lat10_9796,10.97968,38.15559,Amhara,0.4000000000000057,17.818461291358815,HH,0.985,ns,0.0
lon38_157lat9_1392,9.13847,38.15763,Oromia,49.9,-7.905664582767057,HL,0.51,ns,0.0
lon38_158lat10_5379,10.5379,38.15782,Amhara,-36.2,23.954643109540633,LH,0.237,ns,0.0
lon38_1596lat10_2814,10.28144,38.1597,Amhara,84.00000000000001,-11.170499747602221,HL,0.265,ns,0.0
lon38_1674lat10_6633,10.66332,38.16746,Amhara,27.799999999999997,20.63279695569448,HH,0.319,ns,0.0
lon38_1736lat7_5675,7.56739,38.17323,SNNPR,88.1,13.208071680969205,HH,0.229,ns,0.0
lon38_1741lat13_6932,13.69245,38.17466,Tigray,0.6000000000000014,-7.013356890459367,HL,0.992,ns,2.0
lon38_1745lat11_5123,11.51301,38.17422,Amhara,26.799999999999997,-7.584190223792698,HL,0.612,ns,0.0
lon38_174lat9_3292,9.32912,38.17412,Oromia,-6.799999999999997,-1.5400235571260321,LL,0.958,ns,0.0
lon38_1753lat10_8925,10.89253,38.17535,Amhara,103.4,16.538643109540633,HH,0.088,ns,0.0
lon38_1859lat14_4137,14.41365,38.18586,Tigray,-93.30000000000001,0.7366431095406405,LH,0.905,ns,0.0
lon38_185lat7_8577,7.85762,38.18498,SNNPR,-113.5,-7.030023557126029,LL,0.348,ns,1.0
lon38_1875lat10_7535,10.75325,38.18766,Amhara,88.89999999999999,19.57125849415602,HH,0.074,ns,0.0
lon38_1962lat10_8781,10.87807,38.19626,Amhara,70.00000000000001,22.856208326931934,HH,0.103,ns,0.0
lon38_2035lat9_2044,9.20437,38.20358,Oromia,6.200000000000003,-4.544126121228596,HL,0.924,ns,0.0
lon38_2083lat8_6585,8.65854,38.20825,Oromia,13.799999999999997,-40.93835689045936,HL,0.471,ns,0.0
lon38_2105lat9_3833,9.38354,38.21022,Oromia,-22.10000000000001,-2.3287415058439795,LL,0.868,ns,0.0
lon38_2114lat11_9213,11.9214,38.21132,Amhara,13.200000000000003,2.1457340186315434,HH,0.908,ns,0.0
lon38_2154lat12_011,12.00984,38.2128,Amhara,-1.9000000000000057,-7.518356890459367,LL,0.951,ns,0.0
lon38_2208lat7_2774,7.27751,38.22075,SNNPR,182.0,-24.721690223792695,HL,0.027,HL,0.0
lon38_2253lat11_6117,11.61098,38.22772,Amhara,-39.599999999999994,12.40202772492525,LH,0.367,ns,0.0
lon38_2314lat7_4704,7.47013,38.23094,SNNPR,100.1,21.09573401863155,HH,0.131,ns,0.0
lon38_2453lat7_7903,7.78697,38.24415,SNNPR,7.099999999999994,-6.159510736613214,HL,0.881,ns,1.0
lon38_2533lat11_6353,11.63542,38.25332,Amhara,81.9,12.408382239975417,HH,0.18,ns,0.0
lon38_2665lat12_9624,12.96256,38.26677,Amhara,0.0,11.261643109540636,LH,0.993,ns,0.0
lon38_2668lat13_2009,13.20089,38.2668,Amhara,-62.900000000000006,0.2635661864637113,LH,0.942,ns,0.0
lon38_2705lat5_3933,5.39321,38.27041,Oromia,14.399999999999991,-32.26335689045937,HL,0.686,ns,0.0
lon38_2737lat12_3049,12.30528,38.27347,Amhara,30.900000000000006,-0.876993254095737,HL,0.936,ns,0.0
lon38_2763lat9_7666,9.76678,38.27651,Oromia,-17.200000000000003,7.1723573952549176,LH,0.82,ns,3.0
lon38_2849lat11_4658,11.46565,38.285,Amhara,-112.8,3.6639158368133637,LH,0.437,ns,0.0
lon38_2852lat8_3936,8.39364,38.28543,Oromia,-245.89999999999998,-27.04907117617364,LL,0.004,LL,0.0
lon38_2858lat11_6874,11.68742,38.28543,Amhara,-84.4,20.49099093562759,LH,0.091,ns,0.0
lon38_2971lat7_0801,7.07989,38.29739,SNNPR,-168.8,12.679500252397776,LH,0.105,ns,6.0
lon38_2975lat13_4618,13.46178,38.29745,Amhara,-54.1,-3.563356890459371,LL,0.742,ns,0.0
lon38_3009lat11_0261,11.0261,38.30096,Amhara,-142.0,24.83997644287397,LH,0.035,LH,0.0
lon38_3032lat11_8063,11.80642,38.30343,Amhara,-25.69999999999999,7.970643109540633,LH,0.598,ns,0.0
lon38_3187lat10_6051,10.60504,38.31859,Amhara,-23.60000000000001,30.383071680969206,LH,0.242,ns,0.0
lon38_3196lat13_0797,13.07967,38.31963,Amhara,68.4,1.7783097762073008,HH,0.778,ns,0.0
lon38_3215lat9_1556,9.15667,38.32153,Oromia,-7.599999999999994,-1.9733568904593657,LL,0.958,ns,4.0
lon38_3241lat11_5425,11.54388,38.32355,Amhara,43.5,1.5616431095406345,HH,0.819,ns,0.0
lon38_33lat8_0194,8.01933,38.32997,SNNPR,-55.7,-5.673356890459362,LL,0.578,ns,2.0
lon38_35lat10_4461,10.44609,38.35006,Amhara,47.39999999999999,13.532097654995178,HH,0.336,ns,0.0
lon38_361lat7_6799,7.68126,38.36088,SNNPR,17.699999999999996,5.331087553985075,HH,0.839,ns,0.0
lon38_3621lat13_0953,13.09623,38.36409,Amhara,-27.39999999999999,9.761643109540634,LH,0.618,ns,0.0
lon38_3634lat8_616,8.61599,38.36341,Oromia,-16.19999999999999,-45.06669022379269,LL,0.31,ns,0.0
lon38_3643lat11_3054,11.30828,38.36404,Amhara,66.7,-13.24002355712603,HL,0.283,ns,0.0
lon38_3667lat10_2543,10.25439,38.36678,Amhara,28.200000000000017,11.666643109540633,HH,0.577,ns,0.0
lon38_3689lat6_9287,6.92881,38.36886,SNNPR,39.099999999999994,-40.893356890459366,HL,0.186,ns,6.0
lon38_3724lat10_8778,10.87781,38.37228,Amhara,191.9,12.367595490493015,HH,0.05,ns,0.0
lon38_3733lat8_8306,8.83047,38.37277,Oromia,11.299999999999997,-26.49669022379269,HL,0.618,ns,0.0
lon38_3831lat13_3943,13.39431,38.38305,Amhara,49.3,-15.388356890459367,HL,0.448,ns,0.0
lon38_3884lat9_1034,9.10334,38.38838,Oromia,29.699999999999996,0.019976442873968825,HH,0.996,ns,3.0
lon38_393lat7_0462,7.04616,38.39294,SNNPR,65.60000000000001,-14.890279967382444,HL,0.289,ns,6.0
lon38_3994lat11_2454,11.2454,38.39937,Amhara,-123.8,-13.513356890459363,LL,0.161,ns,0.0
lon38_4036lat11_9009,11.90084,38.40348,Amhara,63.99999999999999,-8.17699325409573,HL,0.358,ns,0.0
lon38_4075lat6_751,6.75096,38.4075,SNNPR,17.0,-29.856214033316505,HL,0.549,ns,0.0
lon38_4207lat8_4664,8.46661,38.42063,Oromia,-21.30000000000001,-33.949071176173646,LL,0.315,ns,0.0
lon38_4308lat11_4108,11.4109,38.43077,Amhara,42.2,-10.0545333610476,HL,0.479,ns,0.0
lon38_4377lat11_6017,11.60346,38.43571,Amhara,40.39999999999999,2.9953387617145477,HH,0.726,ns,0.0
lon38_4383lat13_1163,13.11635,38.43822,Amhara,-38.3,1.5421986650961905,LH,0.881,ns,0.0
lon38_4423lat6_8744,6.87469,38.44205,SNNPR,45.0,-33.957801334903806,HL,0.229,ns,0.0
lon38_4492lat9_5204,9.52044,38.44913,Oromia,16.9,-9.893356890459366,HL,0.691,ns,0.0
lon38_4697lat11_6082,11.60816,38.4697,Amhara,2.200000000000003,-2.2925235571260316,HL,0.972,ns,0.0
lon38_4745lat7_7112,7.71122,38.47435,Oromia,125.7,-1.402245779348255,HL,0.75,ns,0.0
lon38_4794lat7_1066,7.10652,38.47967,Oromia,-52.5,14.371258494156017,LH,0.341,ns,8.0
lon38_4955lat8_2588,8.25866,38.49534,SNNPR,17.10000000000001,-27.727642604745075,HL,0.457,ns,0.0
lon38_4992lat8_6319,8.63197,38.49909,Oromia,0.3999999999999915,-31.901592184577005,HL,0.965,ns,0.0
lon38_5125lat13_237,13.23662,38.51248,Amhara,56.4,3.3437859666834937,HH,0.746,ns,0.0
lon38_5174lat11_9261,11.9262,38.51726,Amhara,12.600000000000009,2.972357395254919,HH,0.889,ns,1.0
lon38_529lat8_5215,8.5221,38.52896,Oromia,-189.2,-14.83967267993304,LL,0.045,LL,0.0
lon38_5388lat11_6058,11.60578,38.53864,Amhara,56.9,-7.2493568904593655,HL,0.434,ns,0.0
lon38_5458lat14_1756,14.17591,38.54498,Tigray,93.60000000000001,34.699976442873975,HH,0.04,HH,0.0
lon38_5496lat10_1706,10.17055,38.5495,Oromia,11.599999999999994,-7.8133568904593655,HL,0.851,ns,0.0
lon38_5671lat9_2948,9.29491,38.56691,Oromia,4.800000000000011,-1.0266902237926987,HL,0.974,ns,3.0
